userId,url,imageFileName,uploadedAt,mimeType,imageType,imageWidth,imageHeight,imageRatio,imageRotation,imageScale,imageArtist,size
59,www.shu-dare.io,perspiciatis_repellendus\sapiente.key,2024-07-05T00:22:05.441355900,image/jpeg,full,2964,1879,0.89,303,5.65,Ansel Adams,2470752
35,www.loriann-mertz.name,autem_deleniti\vel.ppt,2023-12-06T00:22:05.441355900,image/jpeg,full,2266,1563,0.67,212,9.95,Vettriano,3375412
10,www.garrett-collier.org,voluptates_veniam\maxime.txt,2023-10-10T00:22:05.441355900,image/png,full,4319,861,0.16,131,7.45,Raphael,2298662
86,www.antwan-halvorson.com,fugit_quia\voluptates.pages,2024-02-11T00:22:05.441355900,image/jpeg,full,536,4848,0.64,299,9.38,Caravaggio,1266650
92,www.daniel-herzog.com,nihil_minus\dicta.mp4,2024-04-18T00:22:05.442355800,image/jpeg,thumbnail,2348,2587,0.66,166,3.89,Monet,2964861
54,www.doria-casper.io,quia_eaque\hic.numbers,2024-05-03T00:22:05.442355800,image/png,thumbnail,4860,4421,0.33,114,9.96,Manet,603261
40,www.jessie-corwin.co,iusto_dolore\reprehenderit.ods,2024-05-15T00:22:05.443354300,image/jpeg,thumbnail,2578,1126,0.80,97,5.47,Rembrandt,4375022
4,www.virgina-rice.info,aut_sequi\id.txt,2024-08-21T00:22:05.443354300,image/png,thumbnail,3395,146,0.42,129,2.18,Magritte,2562691
54,www.efren-christiansen.org,impedit_alias\ipsa.js,2023-10-08T00:22:05.443354300,image/jpeg,thumbnail,1527,932,0.07,278,2.93,Edward Hopper,626478
91,www.margo-emmerich.io,molestias_occaecati\voluptas.numbers,2024-06-26T00:22:05.444354100,image/jpeg,thumbnail,182,3678,0.38,68,7.47,Rubens,85726
79,www.maddie-williamson.net,hic_nesciunt\voluptatem.pdf,2023-11-19T00:22:05.444354100,image/png,full,3405,3841,0.64,17,1.52,Bernini,3536603
42,www.tamra-satterfield.info,odit_molestias\veritatis.avi,2024-07-24T00:22:05.444354100,image/jpeg,thumbnail,422,1005,0.73,303,7.06,Diego Rivera,866248
57,www.sal-veum.org,quia_similique\ipsa.css,2024-06-17T00:22:05.444354100,image/jpeg,full,5055,1454,0.23,120,6.61,Titian,2060348
26,www.kazuko-ritchie.org,tenetur_voluptatem\voluptas.xlsx,2024-01-02T00:22:05.445353900,image/png,thumbnail,3009,4649,0.31,106,0.41,Chagall,468870
48,www.chere-daugherty.name,consequatur_consequatur\ipsum.avi,2024-05-29T00:22:05.445353900,image/jpeg,full,3473,3610,0.73,19,6.22,Durer,4752452
5,www.kristyn-nitzsche.co,aut_molestiae\dolorum.xls,2024-02-01T00:22:05.445353900,image/png,thumbnail,884,2548,0.30,87,8.94,Monet,4181159
2,www.misty-beer.biz,aut_odio\ducimus.key,2024-03-06T00:22:05.445353900,image/jpeg,full,2460,1980,0.37,332,2.95,Seurat,738318
50,www.henry-heaney.co,reprehenderit_totam\incidunt.key,2024-08-22T00:22:05.445353900,image/jpeg,full,4624,3482,0.33,327,6.43,Vincent,2603204
97,www.yulanda-langosh.com,sint_amet\placeat.flac,2024-04-13T00:22:05.446355700,image/jpeg,full,3144,5061,0.66,64,4.16,Raphael,3953568
87,www.vicente-herzog.info,voluptatibus_consectetur\sed.wav,2024-07-23T00:22:05.446355700,image/jpeg,thumbnail,1910,522,0.33,226,7.64,Da Vinci,2691329
20,www.malka-lang.org,rem_dicta\ut.pages,2024-07-16T00:22:05.446355700,image/jpeg,thumbnail,3489,665,0.45,253,5.56,Picasso,3244843
42,www.aaron-roberts.co,numquam_a\voluptatem.css,2024-05-19T00:22:05.446355700,image/png,full,2540,4221,0.61,340,1.22,Winslow Homer,4114889
94,www.keira-stark.com,et_fuga\consequatur.tiff,2024-06-18T00:22:05.446355700,image/png,full,4795,4838,0.30,307,9.31,Michelangelo,4777224
94,www.loyd-pacocha.name,aliquid_suscipit\mollitia.bmp,2024-07-03T00:22:05.447355300,image/jpeg,full,4134,5068,0.89,353,2.97,Escher,5030164
72,www.ty-stracke.org,voluptas_quia\eveniet.csv,2024-07-04T00:22:05.447355300,image/jpeg,full,3863,3546,0.74,188,3.30,Magritte,583035
60,www.rashida-windler.info,quod_nihil\voluptas.gif,2024-06-05T00:22:05.447355300,image/png,thumbnail,1662,3332,0.49,91,9.11,Kahlo,3420195
95,www.andrew-johnson.name,autem_aperiam\facere.docx,2024-03-27T00:22:05.447355300,image/png,thumbnail,2804,3447,0.73,221,3.50,Caravaggio,2849201
83,www.tyson-bashirian.biz,omnis_error\quo.pptx,2024-03-27T00:22:05.447355300,image/png,thumbnail,4677,2052,0.90,359,8.60,Kandinsky,4245633
91,www.lamont-gibson.co,ad_dolorem\praesentium.json,2024-05-21T00:22:05.448354800,image/png,full,487,809,0.48,179,6.25,Cassatt,3199108
0,www.amparo-oberbrunner.org,consequatur_quo\rerum.ppt,2023-10-17T00:22:05.448354800,image/png,full,615,4796,0.66,124,6.86,Edward Hopper,4580355
77,www.freda-gaylord.com,commodi_quo\velit.bmp,2023-12-28T00:22:05.423121500,image/png,full,1247,349,0.78,357,8.15,Joan Miro,1496693
84,www.zella-bosco.org,nihil_iste\laudantium.json,2024-01-01T00:22:05.452358400,image/png,full,2633,1405,0.29,190,4.40,Dali,3340671
46,www.margart-hilll.io,ex_itaque\earum.mp4,2023-11-07T00:22:05.454356200,image/jpeg,full,1214,2377,0.73,219,7.46,Donatello,1519760
53,www.juliet-lang.info,voluptatem_alias\aperiam.jpeg,2024-04-14T00:22:05.457357800,image/png,full,5063,334,0.29,118,8.87,Manet,1162117
49,www.tim-gutkowski.name,laborum_animi\suscipit.tiff,2024-03-26T00:22:05.459356400,image/png,full,921,3616,0.29,194,1.87,Munch,218382
94,www.rod-ondricka.com,quisquam_vel\voluptas.png,2024-06-16T00:22:05.460354800,image/jpeg,full,3577,3993,0.12,300,4.76,Paul Klee,891690
86,www.francie-haag.co,debitis_corporis\ut.doc,2024-08-11T00:22:05.462356,image/png,thumbnail,953,4416,0.54,114,6.38,Durer,4611529
84,www.aleisha-harvey.io,ex_earum\eveniet.docx,2023-10-18T00:22:05.464356700,image/png,thumbnail,2288,268,0.56,153,5.45,Winslow Homer,1507975
71,www.darnell-shanahan.net,sit_illum\beatae.txt,2024-08-29T00:22:05.466354400,image/jpeg,full,2479,908,0.55,57,3.06,Picasso,2374345
10,www.katharine-murphy.com,quia_voluptate\ea.mp3,2024-08-01T00:22:05.467355300,image/jpeg,thumbnail,3838,4645,0.42,357,7.64,Pollock,1839103
6,www.chung-mcglynn.name,nobis_dicta\et.js,2024-06-02T00:22:05.469356400,image/jpeg,full,3028,823,0.12,277,9.76,Ansel Adams,3232957
6,www.berenice-heidenreich.org,odio_quasi\esse.numbers,2024-02-20T00:22:05.471354400,image/jpeg,thumbnail,3670,3860,0.50,165,7.26,Magritte,3928703
39,www.giuseppe-sanford.info,dolorem_occaecati\aut.bmp,2023-10-11T00:22:05.473354,image/png,full,4472,4366,0.52,271,3.49,Manet,512064
3,www.candace-wisozk.info,aut_vel\magni.numbers,2024-01-29T00:22:05.475354400,image/png,thumbnail,3136,2972,0.32,66,2.29,Pollock,4625918
12,www.bennie-kreiger.biz,et_error\temporibus.png,2024-01-22T00:22:05.478356100,image/jpeg,full,776,3568,0.21,351,3.12,Rubens,144212
94,www.mandy-rath.net,occaecati_molestiae\ducimus.tiff,2023-12-01T00:22:05.480354600,image/jpeg,full,4042,3217,0.09,337,0.49,Edward Hopper,578492
78,www.tyson-abernathy.biz,temporibus_pariatur\necessitatibus.gif,2023-12-09T00:22:05.485359200,image/jpeg,thumbnail,3927,4856,0.71,147,1.70,Donatello,637289
34,www.rolf-lebsack.co,neque_repudiandae\ut.html,2024-01-21T00:22:05.486358900,image/png,full,3697,2161,0.99,38,9.09,Ansel Adams,119238
45,www.tamara-goyette.com,necessitatibus_omnis\dolorem.xls,2024-06-19T00:22:05.488355700,image/png,thumbnail,799,4113,0.99,248,3.15,Manet,1403285
40,www.frederick-emmerich.net,inventore_perspiciatis\id.html,2024-03-25T00:22:05.490356700,image/jpeg,thumbnail,4094,2414,0.09,145,7.01,Da Vinci,340975
16,www.dustin-kling.net,ea_et\nemo.docx,2024-03-12T00:22:05.492354700,image/jpeg,full,2405,3727,0.28,63,3.23,Gauguin,308380
24,www.duane-gibson.info,et_ad\dignissimos.mp4,2024-09-06T00:22:05.494356,image/png,thumbnail,3602,257,0.98,138,8.23,Magritte,3137623
75,www.conception-donnelly.name,assumenda_sit\consectetur.ppt,2024-03-05T00:22:05.496354500,image/jpeg,thumbnail,2289,4283,0.52,338,8.81,Dali,4571496
55,www.earl-balistreri.org,voluptatum_earum\dolor.tiff,2024-07-07T00:22:05.497354,image/jpeg,full,4220,1079,0.66,325,8.22,Picasso,736230
24,www.ligia-mertz.name,ducimus_aspernatur\fugit.ppt,2024-01-29T00:22:05.499357400,image/png,full,3828,4926,0.36,341,3.33,Picasso,2413904
63,www.leopoldo-stroman.com,ea_sunt\atque.js,2023-11-01T00:22:05.501356100,image/png,full,2358,2614,0.21,47,2.66,Warhol,3604240
0,www.ashely-considine.net,quasi_recusandae\quod.mov,2024-09-07T00:22:05.503355900,image/jpeg,full,3713,2451,0.31,167,0.48,Botticelli,392020
51,www.lonny-schumm.org,consequatur_ad\fugiat.html,2023-11-26T00:22:05.505355700,image/jpeg,thumbnail,3780,479,0.24,135,0.11,Manet,149137
63,www.vincenza-macejkovic.co,autem_est\commodi.mov,2023-11-25T00:22:05.507354900,image/png,full,4581,4824,0.16,127,1.17,Caravaggio,1628702
25,www.herb-wehner.net,at_quia\voluptatibus.gif,2024-05-17T00:22:05.509354300,image/png,thumbnail,3621,1613,0.54,126,7.38,Raphael,4511217
64,www.nan-barrows.org,ipsum_officia\aut.mp4,2024-03-18T00:22:05.512355900,image/jpeg,thumbnail,3224,1356,0.02,351,2.13,Da Vinci,55425
78,www.mose-braun.org,ullam_reiciendis\quidem.txt,2024-05-15T00:22:05.514356300,image/png,full,1872,3051,0.77,104,7.89,Pollock,4447424
91,www.edmundo-hansen.name,quia_laudantium\odit.pdf,2024-08-28T00:22:05.516354500,image/png,full,3426,264,0.91,77,7.16,Titian,2708860
11,www.adalberto-koelpin.io,aliquid_dolor\atque.odt,2024-05-20T00:22:05.518355700,image/png,thumbnail,817,2960,0.83,82,9.71,Botticelli,3235161
73,www.beau-howell.info,architecto_voluptatem\quia.webm,2023-11-05T00:22:05.520356300,image/jpeg,full,3759,4177,0.16,302,4.67,Rubens,1742774
95,www.randolph-anderson.com,sunt_voluptatem\impedit.odp,2024-03-27T00:22:05.522354600,image/jpeg,full,635,349,0.12,51,1.20,Da Vinci,1837474
29,www.bernardina-adams.biz,et_sint\ex.txt,2023-10-12T00:22:05.524354400,image/jpeg,full,1140,4811,0.75,233,7.20,Kahlo,1722370
2,www.rod-parisian.info,quo_molestiae\et.webm,2023-09-30T00:22:05.526354200,image/png,thumbnail,652,2027,0.66,220,7.68,Cassatt,1836745
98,www.terrell-rippin.net,est_ipsum\sed.js,2024-06-06T00:22:05.528355100,image/png,full,4824,3534,0.24,227,0.38,Winslow Homer,2105883
73,www.beatrice-hartmann.biz,consequatur_qui\beatae.wav,2024-02-18T00:22:05.530356700,image/jpeg,full,3180,4888,0.26,192,3.15,Vincent,3768071
82,www.shandra-huels.info,laboriosam_est\quod.pages,2023-10-19T00:22:05.532355800,image/jpeg,full,1789,3652,0.95,70,0.61,Degas,2856103
12,www.bernadine-thiel.com,sed_harum\rerum.pages,2023-11-02T00:22:05.532355800,image/png,full,4903,3266,0.32,340,6.24,El Greco,4240606
23,www.billie-dietrich.net,excepturi_aut\et.pptx,2024-03-05T00:22:05.532355800,image/jpeg,full,4141,615,0.78,193,1.51,Botticelli,2895095
91,www.olinda-weissnat.biz,facere_nulla\laboriosam.docx,2023-09-20T00:22:05.533354500,image/png,full,2007,3754,0.72,352,9.17,Rothko,4439261
89,www.morris-spinka.name,ut_iste\et.ods,2024-01-16T00:22:05.533354500,image/jpeg,full,230,566,0.22,124,0.63,Degas,3382979
86,www.jerrold-stanton.info,maiores_laborum\doloremque.txt,2024-06-28T00:22:05.533354500,image/jpeg,full,4363,136,0.64,157,3.36,Kahlo,2284762
73,www.hans-bechtelar.name,dolores_pariatur\qui.flac,2024-03-27T00:22:05.533354500,image/png,thumbnail,951,1879,0.09,249,8.05,Manet,1939761
42,www.willette-carter.net,voluptatem_corrupti\natus.numbers,2023-11-11T00:22:05.533354500,image/jpeg,thumbnail,2740,4244,0.11,239,4.08,Titian,631862
78,www.oren-morissette.name,totam_et\ut.doc,2024-08-22T00:22:05.534355900,image/png,full,112,3445,0.90,52,9.00,Seurat,2910158
58,www.rozella-thiel.org,aliquam_perferendis\quia.mp4,2023-10-05T00:22:05.534355900,image/jpeg,full,4571,1361,0.84,193,0.79,Pollock,2015963
59,www.corine-doyle.co,laudantium_ab\aliquid.avi,2024-05-31T00:22:05.414120,image/png,thumbnail,2380,280,0.46,215,1.98,Magritte,3295834
38,www.wilmer-morar.name,quam_eveniet\enim.json,2024-08-17T00:22:05.449356900,image/png,thumbnail,4231,4482,0.98,262,1.04,Dali,554958
82,www.kathern-predovic.com,ab_dolorem\quia.wav,2024-07-05T00:22:05.450355300,image/jpeg,thumbnail,320,1359,0.57,304,6.76,Degas,3113978
15,www.emelda-oconnell.info,qui_consequatur\voluptatum.ppt,2024-05-18T00:22:05.453356200,image/jpeg,full,1850,3594,0.91,120,9.50,Matisse,4111306
19,www.sammie-rice.co,rerum_dolorum\temporibus.jpeg,2023-12-25T00:22:05.456355100,image/jpeg,full,4573,1175,0.11,131,7.30,Warhol,782786
91,www.emily-huel.io,modi_labore\enim.ppt,2023-12-10T00:22:05.458357,image/png,full,3694,278,0.82,264,8.65,Klimt,2317815
80,www.rebbecca-bergstrom.info,vero_impedit\et.jpeg,2024-08-07T00:22:05.460354800,image/png,thumbnail,1841,4709,0.10,191,2.50,Matisse,3316596
49,www.cordia-rau.co,et_est\tempora.ods,2023-10-28T00:22:05.461355200,image/jpeg,full,2327,4056,0.03,159,7.28,Renoir,3114866
40,www.chantay-lebsack.net,et_non\cumque.webm,2024-01-28T00:22:05.462356,image/png,full,403,1096,0.72,152,8.51,Diego Rivera,3292156
69,www.everett-morar.co,quibusdam_nesciunt\repellat.jpeg,2023-10-01T00:22:05.464356700,image/png,full,2798,254,0.43,311,1.87,Winslow Homer,2053093
71,www.paul-dicki.name,beatae_cupiditate\ab.tiff,2024-05-07T00:22:05.465356400,image/png,full,1411,3362,0.67,248,1.66,Seurat,1210287
67,www.luis-bartoletti.co,accusamus_est\omnis.bmp,2023-12-26T00:22:05.467355300,image/png,full,989,4061,0.29,231,7.00,Renoir,1930627
40,www.wade-renner.com,quisquam_nesciunt\voluptas.odp,2024-09-11T00:22:05.468355800,image/jpeg,thumbnail,2662,2535,0.89,143,2.36,Munch,1522383
84,www.angla-donnelly.org,amet_eius\vitae.xls,2024-08-11T00:22:05.470358300,image/jpeg,thumbnail,4337,1685,0.69,20,1.31,Munch,925512
9,www.thaddeus-conroy.biz,non_recusandae\et.css,2024-07-29T00:22:05.472354300,image/png,thumbnail,4319,3227,0.91,245,2.77,Winslow Homer,2168644
44,www.rosalina-hermiston.name,ut_temporibus\nemo.pdf,2024-09-07T00:22:05.473354,image/png,thumbnail,4376,3570,0.50,129,5.23,Cassatt,842427
79,www.exie-russel.biz,dicta_voluptate\quos.jpg,2024-04-20T00:22:05.475354400,image/jpeg,full,4439,3639,0.58,323,3.88,Manet,4301602
82,www.max-jones.info,doloremque_at\dicta.mp4,2023-12-06T00:22:05.476357400,image/jpeg,thumbnail,3705,1448,0.83,281,8.47,Michelangelo,829677
56,www.lina-collins.org,modi_perferendis\qui.bmp,2024-05-22T00:22:05.478356100,image/png,full,4415,2875,0.95,190,0.78,Botticelli,4033577
16,www.shakia-hane.net,qui_tempore\minima.json,2024-08-07T00:22:05.479354700,image/png,thumbnail,3607,4860,0.05,176,1.20,El Greco,3460922
68,www.malisa-koch.co,officia_voluptatem\accusantium.odt,2024-06-17T00:22:05.482356300,image/png,full,826,2963,0.44,308,7.02,Ansel Adams,1652158
6,www.jacque-schaefer.info,fugiat_vel\dolore.html,2023-09-16T00:22:05.484356,image/jpeg,full,614,1817,0.51,94,4.57,Warhol,297414
97,www.kiyoko-kirlin.net,minus_facere\debitis.mp3,2023-09-29T00:22:05.486358900,image/png,thumbnail,452,3565,0.04,102,1.31,Titian,4123830
94,www.maudie-kuphal.org,blanditiis_accusamus\nulla.js,2024-01-25T00:22:05.488355700,image/jpeg,full,3173,3839,0.61,317,1.35,Michelangelo,76417
67,www.tyron-swift.biz,omnis_similique\iste.ods,2023-09-14T00:22:05.489355400,image/jpeg,thumbnail,4662,3568,0.94,173,1.65,Da Vinci,1501386
99,www.mindy-barton.net,sed_non\tenetur.doc,2023-10-31T00:22:05.492354700,image/png,full,1867,1851,0.16,350,8.28,Monet,456482
33,www.savanna-altenwerth.net,quis_harum\quibusdam.flac,2024-08-15T00:22:05.494356,image/png,full,1168,3677,0.12,141,3.43,Renoir,3339618
71,www.chris-metz.biz,dolores_eius\iste.mp4,2023-12-30T00:22:05.497354,image/png,full,2931,2341,0.45,104,6.76,Cassatt,1666541
35,www.deangelo-gerhold.com,voluptatibus_non\et.pages,2023-12-26T00:22:05.499357400,image/jpeg,full,3446,4880,0.88,30,9.41,Cassatt,2863501
52,www.milford-reichel.io,aut_voluptatibus\neque.pptx,2024-05-29T00:22:05.501356100,image/png,thumbnail,1416,3851,0.06,138,8.25,Michelangelo,3205424
66,www.josefine-gottlieb.info,quisquam_atque\et.mp3,2024-03-04T00:22:05.503355900,image/png,thumbnail,1788,2158,0.81,102,0.09,Rubens,4293189
53,www.duane-renner.net,quis_vitae\nisi.txt,2024-02-13T00:22:05.506355100,image/jpeg,full,3802,2098,0.21,228,5.39,Kahlo,3966208
40,www.ola-jacobi.io,aut_necessitatibus\deserunt.numbers,2024-01-10T00:22:05.508357,image/png,thumbnail,658,1383,0.22,216,4.06,Munch,2017903
70,www.clorinda-stamm.name,laboriosam_maiores\neque.css,2023-12-09T00:22:05.510354200,image/png,full,2592,845,0.02,243,8.84,Magritte,967231
42,www.kenneth-daniel.org,necessitatibus_dolore\voluptates.css,2024-01-04T00:22:05.514356300,image/jpeg,full,3257,4516,0.97,49,7.66,Manet,2887383
60,www.tiffiny-grady.io,voluptas_aliquid\pariatur.pptx,2024-02-13T00:22:05.518355700,image/png,thumbnail,3709,1578,0.12,91,3.99,Titian,3205208
17,www.myrl-jerde.info,consequatur_asperiores\cum.bmp,2024-03-20T00:22:05.521356800,image/png,thumbnail,4373,3528,0.09,47,3.76,Da Vinci,799607
55,www.rowena-trantow.biz,odio_est\vel.xlsx,2024-07-20T00:22:05.524354400,image/png,thumbnail,148,1418,0.90,11,9.95,Da Vinci,1608255
7,www.yan-brekke.biz,aut_molestiae\voluptas.mp3,2024-05-12T00:22:05.526354200,image/png,full,1698,1970,0.80,177,8.63,Rembrandt,4144623
75,www.christine-pfannerstill.io,occaecati_voluptatem\deserunt.pdf,2023-12-01T00:22:05.528355100,image/jpeg,full,1996,3216,0.80,5,6.71,Ansel Adams,4113652
63,www.vernie-reichel.info,excepturi_eum\dolores.jpg,2023-12-10T00:22:05.531353,image/png,full,2424,3768,0.34,355,5.75,Warhol,2628684
16,www.gala-jacobs.co,cumque_aut\aut.ods,2024-02-03T00:22:05.532355800,image/png,thumbnail,3949,3583,0.13,4,4.30,Winslow Homer,1626880
96,www.ramon-kreiger.org,officiis_reiciendis\adipisci.doc,2024-07-01T00:22:05.532355800,image/jpeg,thumbnail,528,1004,1.00,55,3.92,Matisse,2672260
11,www.melina-wisozk.biz,rem_soluta\recusandae.jpeg,2023-10-07T00:22:05.532355800,image/jpeg,full,2193,3119,0.22,341,0.08,Michelangelo,705974
15,www.raguel-smitham.io,itaque_recusandae\sint.pdf,2024-04-25T00:22:05.533354500,image/png,thumbnail,3405,1817,0.24,173,6.16,Winslow Homer,3645687
95,www.danilo-rempel.org,voluptas_magni\quod.odt,2024-08-07T00:22:05.533354500,image/jpeg,full,1364,3944,0.98,206,8.20,Michelangelo,4940209
13,www.dick-crooks.io,ipsum_voluptas\ut.txt,2024-01-13T00:22:05.533354500,image/jpeg,thumbnail,4844,629,0.62,324,4.00,Raphael,5021103
21,www.matthew-rice.io,omnis_et\reiciendis.html,2023-12-11T00:22:05.534355900,image/png,thumbnail,2109,4348,0.47,59,6.56,Matisse,1701850
7,www.marlys-vandervort.co,rerum_et\et.mp4,2023-10-04T00:22:05.534355900,image/jpeg,thumbnail,700,2543,0.00,215,0.18,Degas,1067039
37,www.lou-murray.name,reiciendis_nam\molestiae.wav,2024-02-23T00:22:05.534355900,image/png,thumbnail,2004,1600,0.41,92,3.99,Renoir,4049698
92,www.mickie-harber.co,voluptas_magnam\inventore.html,2024-04-23T00:22:05.425347,image/jpeg,full,2366,549,0.22,266,3.65,Paul Klee,3091912
1,www.kathryne-leuschke.org,et_deserunt\mollitia.odt,2024-02-14T00:22:05.450355300,image/jpeg,thumbnail,2532,4722,0.00,320,4.43,Bernini,2423317
23,www.mathilde-reilly.info,ratione_molestias\voluptatem.bmp,2023-10-06T00:22:05.452358400,image/jpeg,thumbnail,3638,4224,0.47,9,1.45,Donatello,911566
89,www.hoyt-herzog.co,repellat_dolor\vel.txt,2024-03-28T00:22:05.453356200,image/jpeg,thumbnail,1769,2377,0.96,190,6.31,Raphael,1368470
56,www.morris-mosciski.co,deserunt_quisquam\odit.flac,2024-04-02T00:22:05.455356300,image/png,full,1922,5006,0.92,275,4.12,Botticelli,195153
88,www.numbers-bauch.net,sit_consequatur\id.txt,2024-08-07T00:22:05.456355100,image/png,full,2166,4287,0.13,88,0.39,Michelangelo,4659812
74,www.rocco-yost.info,cupiditate_id\tempore.doc,2024-08-15T00:22:05.457357800,image/jpeg,thumbnail,4752,2742,0.81,298,5.22,Titian,3568916
30,www.veta-bauch.org,aliquam_facilis\omnis.css,2024-06-05T00:22:05.459356400,image/jpeg,thumbnail,2273,3399,0.48,104,4.74,Botticelli,3919744
23,www.cherelle-vonrueden.biz,itaque_earum\commodi.txt,2023-12-09T00:22:05.460354800,image/png,thumbnail,3587,3032,0.49,283,2.74,Michelangelo,2839621
56,www.vivien-stiedemann.name,officia_voluptatem\natus.gif,2024-02-09T00:22:05.462356,image/png,thumbnail,1031,1130,0.61,318,4.38,Donatello,4742965
59,www.ronna-dicki.com,voluptates_culpa\architecto.docx,2024-07-08T00:22:05.463354900,image/jpeg,full,2493,690,0.42,331,3.63,Renoir,3048123
35,www.lon-huels.org,recusandae_sed\tempore.pages,2024-05-17T00:22:05.464356700,image/jpeg,thumbnail,3154,3678,0.66,342,2.97,Chagall,4057367
41,www.daniel-littel.biz,eius_quo\porro.txt,2024-07-21T00:22:05.466354400,image/png,thumbnail,611,1887,0.33,292,0.13,Paul Klee,2818874
41,www.dennis-schmeler.net,animi_tenetur\voluptates.odp,2024-06-12T00:22:05.468355800,image/jpeg,full,1120,2975,0.12,355,0.34,Gauguin,4459654
73,www.sean-metz.net,sed_et\minima.jpg,2024-05-24T00:22:05.472354300,image/jpeg,thumbnail,1957,1103,0.45,38,3.52,Raphael,816301
28,www.lynnette-ernser.name,maxime_aliquam\velit.wav,2023-12-15T00:22:05.474356,image/png,full,2499,465,0.18,80,4.27,Kandinsky,2665387
29,www.eldridge-borer.com,ipsum_tenetur\velit.bmp,2024-01-29T00:22:05.476357400,image/png,thumbnail,4140,1565,0.09,174,5.03,Cassatt,2340969
38,www.alvin-koepp.net,nihil_nulla\ut.avi,2024-08-30T00:22:05.478356100,image/png,thumbnail,4444,970,0.96,90,2.45,Kandinsky,918584
54,www.vicky-ratke.info,ipsum_in\nihil.pptx,2024-06-11T00:22:05.479354700,image/png,thumbnail,4243,4139,0.76,98,7.15,Pollock,4066992
54,www.kris-kris.io,quo_doloribus\sit.odp,2024-04-24T00:22:05.481357100,image/jpeg,thumbnail,4631,4603,0.02,0,2.69,Pissarro,2229419
41,www.edda-barrows.org,nisi_qui\dicta.jpeg,2023-09-14T00:22:05.482356300,image/png,thumbnail,3544,1007,0.50,19,2.20,Magritte,1544297
26,www.easter-ledner.co,consequatur_quo\sed.odp,2024-03-11T00:22:05.483353600,image/png,thumbnail,4275,3438,0.15,164,6.78,Renoir,1309130
